Date,Départ,Arrivée,Durée,Numéro ,Origine,Pays Origine,Ville Origine,Destination,Pays Destination,Ville Destination
2018/12/21,18:20 UTC,18:42 UTC,22 m,6VONE,N/A,,,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/12/20,00:01 UTC,00:42 UTC,40 m,SENE001,N/A,,,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/12/16,13:51 UTC,16:19 UTC,2 h 28 m,SENE001,N/A,,,Paris-Orly Airport (LFPO),France,Orly
2018/12/13,09:16 UTC,09:59 UTC,42 m,6VONE,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/12/2,11:44 UTC,12:20 UTC,35 m,6VONE,N/A,,,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/12/2,08:09 UTC,08:46 UTC,37 m,LIB001,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,N/A,,
2018/11/29,13:17 UTC,13:47 UTC,30 m,LIB001,N/A,,,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/11/29,09:27 UTC,10:07 UTC,39 m,6VONE,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,N/A,,
2018/11/13,18:12 UTC,23:42 UTC,5 h 30 m,SENE001,Paris-Orly Airport (LFPO),France,Orly,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/11/10,14:25 UTC,19:34 UTC,5 h 9 m,SENE001,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,Paris-Orly Airport (LFPO),France,Orly
2018/11/8,20:02 UTC,04:15 (+1) UTC,8 h 12 m,SENE001,Grand Central Airport (FAGC),Afrique du Sud,Midrand,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/11/7,12:43 UTC,20:56 UTC,8 h 12 m,SENE001,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,Rand Airport (FAGM),Afrique du Sud,Germiston
2018/11/2,09:55 UTC,11:15 UTC,1 h 19 m,6VONE,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/10/30,21:53 UTC,04:26 (+1) UTC,6 h 33 m,SENE001,Berlin-Tegel Airport (EDDT),Allemagne,Berlin,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/10/29,14:19 UTC,16:06 UTC,1 h 46 m,SENE001,Toulouse-Blagnac Airport (LFBO),France,Toulouse,Berlin-Tegel Airport (EDDT),Allemagne,Berlin
2018/10/28,10:38 UTC,15:17 UTC,4 h 39 m,SENE001,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,Toulouse-Blagnac Airport (LFBO),France,Toulouse
2018/10/24,20:39 UTC,05:58 (+1) UTC,9 h 18 m,SENE001,King Khaled International Airport (OERK),Arabie saoudite,Riyad,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/10/23,19:45 UTC,03:45 (+1) UTC,7 h 59 m,SENE001,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,King Khaled International Airport (OERK),Arabie saoudite,Riyad
2018/10/18,17:36 UTC,18:05 UTC,28 m,6VONE,Cap Skirring Airport (GOGS),Sénégal,Cap Skirring,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/10/18,16:03 UTC,16:36 UTC,32 m,SENE001,Diass-Thies Blaise Diagne International Airport (GOBD),Sénégal,Diass,Cap Skirring Airport (GOGS),Sénégal,Cap Skirring
2018/10/18,13:04 UTC,13:21 UTC,17 m,6VONE,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,Diass-Thies Blaise Diagne International Airport (GOBD),Sénégal,Diass
2018/10/13,09:17 UTC,16:21 UTC,7 h 3 m,SENE001,N/A,,,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/10/9,18:20 UTC,02:53 (+1) UTC,8 h 32 m,SENE001,Ministro Pistarini International Airport (SAEZ),Argentine,Buenos Aires,Diass-Thies Blaise Diagne International Airport (GOBD),Sénégal,Diass
2018/10/7,10:37 UTC,19:52 UTC,9 h 14 m,SENE001,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,Ministro Pistarini International Airport (SAEZ),Argentine,Buenos Aires
2018/10/3,07:20 UTC,12:07 UTC,4 h 47 m,6VONE,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,Perpignan-Rivesaltes (Llabanère) Airport (LFMP),France,Perpignan
2018/10/2,17:54 UTC,18:27 UTC,32 m,SENE001,N/A,,,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar
2018/10/2,08:32 UTC,09:14 UTC,41 m,SENE001,Léopold Sédar Senghor International Airport (GOOY),Sénégal,Dakar,N/A,,
